entry_id,seq_num,word,word_type,english_example,kashmiri_word,kashmiri_example,urdu_translation,chinese_word,chinese_example,turkish_word,turkish_example
1432,2,float,V,"She kept on floating in the river.
",???????? ?????,?? ???? ??????? ???? ???????? ?????,"?? ???? ??? ????? ????
",??,?????????,batmadan yüzmek,Nehirde yüzmeye devam etti.
1432,3,float,V,"He floated an idea for starting the bussiness.
",????? ????? ????? ????,???? ???? ???? ??? ?????? ????? ??????,"?? ?? ??????? ???? ???? ?? ??? ???? ??? ????
",??,??????????,batmadan yüzmek,Isi baslatmak için bir fikir ortaya atti.
1432,4,float,V,"This company has floated its first brochure.
",???? ????,?????? ?????? ??? ???? ??????? ??????? ???? ????????,"?? ????? ?? ???? ???? ????? ???? ??? ???
",??,?????????????,batmadan yüzmek,Bu sirket ilk brosürünü yayinladi.
1432,5,float,V,They decided to float 60 per cent of the shares.,?????,???? ???? 60 ???? ???? ?????? ??????,????? ?? 60 ???? ????? ????? ?? ????? ????,??,???????? 60% ????,batmadan yüzmek,Hisselerin yüzde 60'ini halka arz etmeye karar verdiler.
1432,6,float,N,The smells of delicious foods floated all around him.,??????,??? ??? ?????? ????? ????? ???????? ???? ?????? ?? ??????,???? ?????? ?? ??? ?? ?? ????? ??? ???? ??? ????,??,??????????????,batmadan yüzmek,Lezzetli yemeklerin kokulari etrafi sariyordu.
1432,7,float,V,"Strange thoughts float into my mind when I try to sleep.
",???,?????? ??? ???????? ?????? ???? ????? ??????? ???? ???? ??? ?????? ???? ??????,"?? ??? ???? ?? ???? ???? ??? ?? ???? ??? ??? ???? ? ???? ?????? ??? ????
",??,??????,??????????????,batmadan yüzmek,Uyumaya çalistigimda aklima tuhaf düsünceler geliyor.
1433,1,flood,Adj,"The people stuck in the flooded areas are in need of help.
",?????? ??,?????? ?? ????? ???? ??????? ???? ??? ???????? ????????,"????? ??? ?????? ??? ????? ????? ?? ??? ?? ????? ???
",??,???????????????,sel basmak,Sular altinda kalan bölgelerde mahsur kalan vatandaslar ise yardima muhtaç durumda.
1433,2,flood,V,A number of states all over the country have been flooded.,?????? ???,????? ?????  ???? ??? ??????? ??????? ???? ?????? ?????,??? ??? ?? ??? ??????? ????? ?? ?? ??? ??? ????,??,????????????,sel basmak,Ülke genelinde birçok eyalet sular altinda kaldi.
1433,3,flood,Adj,"The markets are flooded with many imported goods.
",??????,???? ??? ?????? ??? ???? ????? ???? ???????,????? ??? ?? ?????? ????? ?? ???? ??? ????,??,?????????????,sel basmak,Piyasalar birçok ithal ürünle dolup tasiyor.
1433,4,flood,V,The shop is completely flooded.,?? ???,???? ??? ????? ????? ?? ?????,???? ??? ???? ??? ?? ???? ??? ??? ???,??,??????????,sel basmak,Dükkani tamamen su basti.
1433,5,flood,V,The river has flooded the meadows. ,?????? ????,??????? ??? ????? ?????? ?????? ????????,???? ?? ???? ?? ??????? ?? ????? ?? ??? ??? ???,??,????????,sel basmak,Nehir çayirlari sular altinda birakti.
1433,6,flood,N,The flood destroyed many houses.,??????,??????? ???? ?????? ???? ?????,????? ?? ??? ?????? ?? ???? ?? ????,??,??????????,sel basmak,Sel çok sayida evi tahrip etti.
1434,1,floor,N,"The floor of the house is to be kept clean.
",???????,????? ?????????? ??? ???????,"??? ?? ??? ?? ??? ????? ???
",??,???????????,zemin,Evin zemini temiz tutulmalidir.
1434,2,floor,N,"A large number of fish were found on sea floor.
",????,?????? ??? ?????  ????? ???? ?????? ???? ????? ?????,"????? ?? ???? ??? ?? ??? ????? ??? ??????? ???? ?????
",??,??????????,zemin,Deniz tabaninda çok sayida balik bulundu.
1434,3,floor,N,"We live on the fourth floor.
",???? ????,???? ??? ??????? ???? ????? ??????,"?? ????? ???? ?? ???? ????
",??,???????,zemin,Dördüncü katta yasiyoruz.
1434,4,floor,N,"He took her to the dance floor.
",???? ??? ???,???? ????? ?? ????? ??? ????? ??????,"?? ??? ????? ?? ??? ?? ?? ????
",??,????????,zemin,Onu dans pistine götürdü.
1434,5,floor,V,He was floored by the announcement.,????? ????,???? ????? ???? ???? ??? ??????,?? ????? ?? ??? ????? ??? ?????,??,???????????,zemin,Duyuruyla yere yigildi.
1434,6,floor,V,"He floored him by his argument.
",?????? ????????,???? ??? ??? ?????? ???? ?????,"?? ?? ???? ??? ?? ??? ??? ????
",??,???????????,zemin,Iddiasiyla onu yere serdi.
1434,7,floor,V,"The wrestler floored the opponent by a single punch.
", ????? ?????? ?? ????,??????? ??? ??????? ????  ????? ???? ??????,"?????? ?? ??? ?? ??? ?? ???? ?? ????? ????
",??,?????????????,zemin,Güresçi tek yumrukla rakibini yere serdi.
1434,8,floor,V,"The carpenters were flooring the room.
", ???? ??????? ???? ???????,???? ??? ??????  ???? ???????,"????? ???? ?? ??? ??? ??? ????
",??,????????????,zemin,Marangozlar odanin zeminini dösemekteydi.
1435,1,flour,N,"Bread is made up of flour.
",???,???? ???? ???? ?????,"???? ??? ?? ???? ???
",??,??????????,un,Ekmek undan yapilir.
1435,2,flour,V,"Cutlets are floured before frying.
",??? ?????? ???? ???? ????,???? ??? ????? ????? ???????? ??? ???????,???? ?? ???? ?? ???? ??? ????? ???? ???,??,?????????,un,Köfteler kizartmadan önce unlanir.
1436,1,flow,V,"All the rivers flow into the sea.
",????? ????,????  ?????? ??? ??????? ???? ?????,"???? ???? ????? ??? ???? ????
",??,???????????,akis,Bütün nehirler denize akar.
1436,2,flow,V,"With fewer cars on the roads, the traffic is flowing smoothly.
",????,????? ????? ?? ???? ????? ???? ??? ???????? ????? ??? ?????,"????? ?? ?? ????? ?? ????? ????? ????? ?? ?? ??? ???
",??,????????,????????,akis,Yollarda araç sayisinin azalmasiyla trafik akici bir sekilde akiyor.
1436,3,flow,V,"Money flowed without restraints for his party.
 ",????? ????? ???,???? ?????? ????? ????? ???? ?????? ????? ??????,"?? ?? ????? ?? ??? ???? ??? ??? ??? ?? ???? ?? ??? ???? ??? ??? ????
 ",??,??????????????,akis,Partisi için para hiçbir kisitlama olmaksizin akiyordu.
1436,4,flow,Adj,"Priests usually wear flowing robes.
",?????? ???????,?????? ??? ???? ????? ????? ??????,"????? ??? ??? ?? ????? ???? ????? ????
",??,????????????,akis,Rahipler genellikle dökümlü elbiseler giyerler.
1436,5,flow,Adj,Flowing water is usually pure.,?????,????? ?? ??? ???? ???? ?????,???? ??? ???? ??? ??? ?? ???? ???? ???,??,???????????,akis,Akan su genellikle saftir.
1436,6,flow,N,"The flow of blood from the wound stopped.
",?????? ????,????? ????? ????? ????? ????????,??? ?? ??? ?? ???? ?? ????,??,??????????,akis,Yaradan kan akisi durdu.
1436,7,flow,V,Undesirable consequences flow from these misconceptions.,?????? ????? ?????,???? ??? ??????? ???? ??? ????????? ?????? ??????,?? ??? ?????? ?? ????????? ????? ????? ????,??,????????????,akis,Bu yanilgilardan istenmeyen sonuçlar dogar.
1436,8,flow,Adv,"He speaks in a flow.
",?????,??? ??? ????? ???? ????? ,?? ????? ????? ???,??,???????,akis,Akis halinde konusuyor.
1437,1,flower,N,"These flowers have pleasant fragrance.
",???,???? ???? ???? ??????? ?????,?? ?????? ??? ??????? ????? ???? ???,?,??????????,çiçek,Bu çiçekler hos bir kokuya sahiptir.
1437,2,flower,N,"The kids are like the flowers in the family.
",???,???? ??? ???????? ????  ?? ??? ?????,??? ?????? ??? ?????? ?? ??? ???? ???? ,?,??????????,çiçek,Çocuklar ailenin çiçekleri gibidir.
1437,3,flower,V,"This plant flowers in June.
",??????? ??? ???????,??? ????? ??? ????? ???? ??? ???????,"?? ???? ??? ??? ?????? ???
",?,??????????,çiçek,Bu bitki haziran ayinda çiçek açar.
1437,4,flower,V,"Her art flowered eventually.
",????,???? ???? ???? ?????? ???? ????? ?? ?????,"?? ?? ?? ?????? ???? ????
",?,?????????????,çiçek,Sonunda sanati çiçek açti.
1438,1,flue,N,"The flue emits steam during the cooking.
",???????? ???,?????? ???? ???? ??????? ??? ?????  ?????,"????? ????? ?? ????? ????? ???? ???? ???? ???
",??,?????????????,baca,Baca pisirme sirasinda buhar yayar.
1439,1,fluid,N,"You need to consume lot of fluid.
",??? ???,????? ??? ?????? ??? ??? ?????? ??????  ,"?? ?? ??? ????? ???? ???? ?? ????? ???
",??,??????????,sivi,Bol sivi tüketmeniz gerekiyor.
1439,2,fluid,Adj,"Milk is a nurishing fluid feed.
",???,???? ??? ??? ??? ????? ????,???? ??? ??? ??? ???? ?? ????? ???,??,???????????????,sivi,Süt besleyici sivi bir besindir.
1439,3,fluid,Adj,Our assets are fluid.,???? ???? ????? ???? ???,??? ????? ??? ???? ???? ????? ???? ????,????? ????? ??? ??? ????? ???? ???? ????,??,??????????,sivi,Varliklarimiz akiskandir.
1440,1,flux,N,"Our plans are in a state of flux at the moment.
",?????? ??????,???? ???????? ??? ???? ???? ?????? ?????? ??????? ????? ?????,????? ?????? ?? ??? ????? ?????? ?? ???? ??? ????,??,?????????????????,aki,Planlarimiz su anda degisim halinde.
1440,2,flux,N,"Our resources are in a state of flux.
",???????? ????,???? ?????? ??? ????????? ?????? ????? ,????? ????? ???? ?? ???? ??? ????,??,???????????????,aki,Kaynaklarimiz sürekli degisim halinde.
1441,1,fly,V,"Birds fly in the air.
",?????,??????? ??? ????? ???? ??????,????? ??? ??? ???? ????,?,????????,uçmak,Kuslar havada uçuyor.
1441,2,fly,V,"Rumors are flying that schools might close soon.
",??????,???? ???? ?????? ?? ?????? ?? ???? ???? ?????,"??????? ???? ??? ??? ?? ????? ??? ?? ??? ?????? ????
",?,????,???????????,uçmak,Yakinda okullarin kapanabilecegine dair dedikodular dolasiyor.
1441,3,fly,V,"How long does it take to fly from Delhi to Mumbai?
",????? ??? ????,????? ?????? ?????? ???? ????? ??? ???? ?????? ?? ??? ?????,"???? ?? ????? ?? ????? ???? ??? ???? ??? ???? ???
",?,??????????????,uçmak,Delhi'den Mumbai'ye uçmak ne kadar sürer?
1441,4,fly,V,"We hope that our new bussiness will fly.
",?????? ?????? ????? ?????,???? ???? ????? ?? ??? ???? ??????? ???? ???????,"???? ???? ?? ?? ????? ??? ??????? ????? ????? ???
",?,???????????????,uçmak,Yeni isletmemizin uçacagini umuyoruz.
1441,5,fly,V,He flew a small plane to Cuba.,??????,???? ???? ??????? ???? ??? ????? ????? ?????,?? ?? ????? ?? ??? ????? ????? ???? ??????,?,??????????????,uçmak,Küba'ya küçük bir uçakla uçtu.
1441,6,fly,V,"He flew from the city.
",????,??? ???? ???? ??????,?? ??? ?? ???? ????,?,?????????,uçmak,Sehirden uçtu.
1441,7,fly,N,"There are many flies in this room.
",????,??? ?????? ???? ???? ?????? ?????,"?? ???? ??? ??? ?? ?????? ????
",?,???????????,uçmak,Bu odada çok fazla sinek var.
1441,8,fly,N,"The aeroplane is flying Indian flag.
",???????,???? ??? ??????????? ????? ???????? ,"????? ???? ????????? ????? ???? ??? ???
",?,????????????,uçmak,Uçakta Hindistan bayragi dalgalaniyor.
1441,9,flying,Adj,"There are many flying insects in this place.
",???????,??? ????? ??? ?????? ??????? ??????,"?? ??? ?? ??? ?? ???? ???? ???? ????
",??,??????????,uçan,Burada çok sayida uçan böcek var.
1441,10,flying,N,"She hates flying.
",????? ???,????? ??? ????? ??? ??????,"?? ????? ???? ?? ???? ???? ???
",??,??????,uçan,Uçmaktan nefret ediyor.
1442,1,foam,N,We see foam on water with a lot of soap in it.,????,???? ???? ??? ????? ???? ??? ???? ?????? ???? ???,?? ???? ?? ???? ?????? ??? ?? ??? ??? ???? ???? ????,??,??????????,????????,köpük,Içinde bol miktarda sabun bulunan suyun üzerinde köpük görüyoruz.
1442,2,foam,N,"We arranged foam mattresses for them.
",??? ???? ?????,???? ???? ??????? ????? ??? ??? ??????? ????????,"?? ?? ?? ?? ??? ??? ?? ???? ?? ??????? ????
",??,?????????????,köpük,Onlara sünger yataklar hazirladik.
1442,3,foam,V,"This soap foams a lot.
",???? ?????,??? ?????? ??? ?????? ???? ??????,"?? ???? ??? ??? ????? ???? ??? ???
",??,?????????,köpük,Bu sabun çok köpürüyor.
1443,1,focus,N,These days environment has become a focus of attention.,????,???? ??? ????? ?????? ???? ????????,?? ???? ????? ???? ?? ???? ??? ??? ???,??,??,?????????????,odak,Günümüzde çevre ilgi odagi haline gelmistir.
1443,2,focus,V,"We should focus on our bussiness.
",???? ????? ???? ??????,???? ??? ?????? ???????? ????? ???? ?????,"???? ???? ??????? ?? ???? ???? ??????
",??,????????????,odak,Isinize odaklanmaliyiz.
1443,3,focus,V,"He is unable to focus in dimlight.
",??? ????? ??????,??? ??? ??? ?????? ?? ???? ???? ??? ????? ????????,?? ???? ????? ??? ???? ??? ?? ???? ???? ?????,??,????????????????,odak,Los isikta odaklanamiyor.
1444,1,fog,N,"The cars collided in the fog.
",????,?????? ???? ?? ?????? ??? ????? ???? ????,"????? ???? ??? ???? ?????
",????,??????????,sis,Arabalar siste çarpisti.
1444,2,fog,V,"The glass panes were completely fogged.
",??? ?????,?????? ???????? ????? ??? ????? ????? ??? ?????????,"??????? ??  ???? ???? ??? ?? ?????? ???? ????
",????,?????????,sis,Camlar tamamen bugulanmisti.
1444,3,fog,V,"I was fogged by her answer.
",????? ???? ???? ?????? ?????? ?????,??? ??? ???? ?????? ?????? ???? ????? ???? ????? ,"??? ?? ?? ???? ?? ?????? ??????
",????,??????????,sis,Cevabi karsisinda saskina dönmüstüm.
1445,1,foil,N,Aluminium foil keeps food fresh.,????,????? ??? ??? ????? ????  ??????,"????????? ??? ????? ?? ???? ????? ???
",??,??????????,folyo,Alüminyum folyo yiyeceklerin taze kalmasini saglar.
1445,2,foil,V,"He foiled the attempts made by Aslam to get the job.
",?????? ???? ?????? ????? ????,???? ??? ???? ?????  ????? ???? ??????? ??????? ???? ?????? ?????,?? ?? ???? ?? ????? ???? ???? ?? ?????? ?? ????? ?? ????,??,??????????????????????,folyo,Aslam'in isi almak için yaptigi girisimleri bosa çikardi.
1445,3,foil,N,"They make foils used in the competition.
",????? ?????,??? ??? ??????? ???? ???????? ???? ?????? ?????? ????? ???????,?? ?????? ??? ??????? ???? ???? ???? ??????? ????? ????,??,?????????????,folyo,Yarismada kullanilan folyolari yapiyorlar.
1446,1,fold,V,"Fold the clothes properly before putting them in the cupboard.
",??? ????,?????? ???? ??????? ???????? ???? ???? ???? ????? ??? ?????,????? ?? ?????? ??? ????? ?? ???? ????? ???? ??? ??? ?? ????,??,???????????????,katlamak,Giysileri dolaba koymadan önce uygun sekilde katlayin.
1446,2,fold,V,"Please fold the chairs in the garden.
",????? ???? ????,??????? ?????? ?? ???? ???? ?????????,???? ??? ??? ??? ?????? ?? ???  ?????,??,??????????,katlamak,Lütfen bahçedeki sandalyeleri katlayin.
1446,3,fold,V,Many factories were folding each week.,???? ?????? ??????,??????? ????? ??? ?????? ??????? ???? ??????,?? ???? ??? ??????? ??? ?? ??? ????,??,???????????,katlamak,Her hafta birçok fabrika kapaniyordu.
1446,4,fold,N,"The folds on this paper are not proper.
",????,?????? ????? ??? ?????? ???? ??? ??????,?? ???? ?? ??? ???? ???? ????,??,??????????,katlamak,Bu kagidin kivrimlari uygun degil.
1446,5,fold,N,"The highway has too many folds.
",???,??????? ??? ?????? ????,?????? ??? ??? ????? ??? ????,??,???????????,katlamak,Otoyolda çok fazla kivrim var.
1446,6,fold,N,"He pushed the sheep into the fold.
",???,???? ????? ???? ???? ???? ??????,?? ?? ?????? ?? ???? ??? ????? ????,??,?????????,katlamak,Koyunlari agila itti.
1446,7,fold,N,"Many members decided to leave the fold.
",?????? ??????,??????? ???? ???? ????? ????? ?????? ???????,??? ????? ?? ????? ?????? ?? ????? ????,??,?????????,katlamak,Birçok üye gruptan ayrilmaya karar verdi.
1446,8,fold,Suffix,"He earned tenfold profit in this investment.
",????,??? ??????? ???? ???? ????? ??? ?? ???? ????,?? ?????? ???? ??? ?? ?? ?? ??? ????? ??????,??,????????????????,katlamak,Bu yatirimdan on kat kâr elde etti.
1447,1,folk,N,"I am going to my village to meet my folks.
",?????? ??????? ????,??? ??? ???? ??? ?????? ????? ???? ???? ???????? ??????,??? ???? ???? ???? ???? ?? ????? ?? ???? ?? ??? ????,??,??????????????,halk,Ailemle bulusmak için köyüme gidiyorum.
1447,2,folk,N,"The folks in my society are very friendly.
",????? ????,?????? ??????? ???? ??? ?????? ?????? ???????? ,???? ?????? ?? ??? ??? ?????? ????,??,??????????????,halk,Toplumumdaki insanlar çok arkadas canlisidir.
1447,3,folk,Adj,"Every culture has folk tales.
",?????,?????? ???? ??????? ???? ???? ????? ???? ?????,?? ????? ??? ??? ??????? ???? ????,??,???????????,halk,Her kültürün halk masallari vardir.
1447,4,folk,N,Ordinary folk can't afford cars like that.,???? ????,??? ??? ?????? ??? ????? ???? ???????,??? ???? ???? ?????? ???? ???? ?????,??,?????????????,halk,Siradan insanlarin böyle arabalara parasi yetmez.
1448,1,folklore,N,"I translated some folklore from vernacular into english.
",????? ???? ??????? ????,??? ???? ??????? ????? ???? ????? ????? ????? ?????? ????? ??? ??????? ,??? ?? ??? ??? ???????? ?? ????? ???? ?? ??????? ??? ????? ????,???,?????????????????,folklor,Bazi folkloru yerelden Ingilizceye çevirdim.
1449,1,follow,V,"I will follow the instructions.
",??????? ????,??? ???? ??????? ????????,??? ?????? ?? ??? ???? ???,??,???????????,takip etmek,Talimatlari takip edecegim.
1449,2,follow,V,You will have to follow me to reach the destination.,???? ???? ???? ???? ????,?????? ???? ?????? ????? ????? ??? ??? ???? ????,???? ?? ?????? ?? ??? ?? ?? ???? ???? ??? ??? ???,??,??????????????,takip etmek,Hedefe ulasmak için beni takip etmeniz gerekecek.
1449,3,follow,V,"He followed her upto her house.
",???? ???? ?????? ???? ?????,??? ????? ?? ??? ???? ???? ?????,?? ?? ?? ??? ?? ?? ?? ????? ???? ????,??,?????????,takip etmek,Onu evine kadar takip etti.
1449,4,follow,V,"We have to follow the rules of the company.
",?????? ???????? ?????,???? ??? ????? ????? ?????? ???????,???? ????? ?? ?????? ?? ??? ???? ?????,??,????????????,takip etmek,Sirketin kurallarina uymak zorundayiz.
1449,5,follow,V,"She wants to follow medical profession.
",??????? ????,?? ???? ???? ????? ??????? ???? ??????,?? ???? ???? ?????? ???? ????? ???,??,?????????,takip etmek,Tip meslegini takip etmek istiyor.
1449,6,follow,V,"You should try to follow the instructions of the teacher.
",????? ?????,??? ??? ?????? ?????? ?????? ????? ????? ?????? ??????,?? ?? ????? ?? ?????? ?? ??? ???? ?? ???? ???? ??????,??,?????????????,takip etmek,Ögretmenin talimatlarina uymaya çalismalisiniz.
1449,7,follow,V,Other problems may follow.,???? ???? ???? ???????? ??? ???,????? ?????? ????? ???? ???? ?????,???? ????? ??? ????? ????,??,???????????,takip etmek,Bunu baska sorunlar da takip edebilir.
1449,8,follow,V,There are millions of people who follow football.,??????? ???????,???? ???? ???? ??? ??? ????? ???? ??????? ???????,?? ??? ??? ?????? ????? ???? ?????? ??? ????,??,?????????????,takip etmek,Futbolu takip eden milyonlarca insan var.
1449,9,follow,V,I'm afraid I don't follow.,?????? ????,??? ??? ????? ??? ???? ??? ??????? ,"???? ?? ??? ?? ?? ??? ???? ???? ?? ??? ????
",??,???????,takip etmek,Korkarim takip etmiyorum.
1449,10,follow,V,"It follows that she will not withdraw the case.
",???? ????? ?????,????? ???? ??? ????? ?? ?? ????? ??? ?????? ?????,?? ?? ?? ??? ???? ?? ??? ?? ??? ???? ???? ?? ???,??,????,??????,takip etmek,Demek ki davayi geri çekmeyecek.
1450,1,follower,N,"He is a follower of a pious saint.
",??????,??? ??? ???? ?????? ???? ????? ???????,?? ??? ???? ???? ?? ??????? ???,???,?????????????,takipçi,O dindar bir azizin takipçisidir.
1451,1,following,Adj,"The programme was held on the following day.
",?????,??????? ?? ?????? ??? ?????? ?????,??????? ???? ?? ????? ????,???,??????????,takip etme,Program ertesi gün gerçeklestirildi.
1451,2,following,Adj,"Consider the following examples.
",???????? ??? ????????,???????? ???? ????? ???? ?????? ????? ???? ????,??? ??? ?????? ?? ??? ?????,???,???????,takip etme,Asagidaki örnekleri göz önünde bulundurun.
1451,3,following,N,"The saint has a large following in our village.
",???? ???? ????,????? ??? ???? ???? ?????? ???? ???? ?????,???? ?? ????? ??? ??? ?? ????? ???? ??? ?? ,???,????????????????,takip etme,Azizin köyümüzde genis bir takipçi kitlesi var.
1451,4,following,V,He has always tried to follow his father.,????? ???? ????? ????,???? ????? ?????? ?????? ???? ??????? ????? ???? ????? ????? ?????? ???????,?? ?? ????? ???? ???? ?? ??? ??? ?? ???? ?? ???? ?? ???,???,????????????,takip etme,Her zaman babasinin pesinden gitmeye çalisti.
1451,5,following,Prep,"The conditions in the city worsened following his arrest.
",????,???? ?????? ??????? ???? ????? ???? ???? ????? ????? ,?? ?? ??????? ?? ??? ??? ?? ????? ???? ?? ????,???,????,???????????,takip etme,Tutuklanmasinin ardindan sehirdeki kosullar kötülesti.
1452,1,fond,Adj,"I have very fond memories of childhood.
",??????,??? ???? ?????? ??? ?????? ???????? ????????,???? ??? ???? ?? ??? ????? ????? ????,??,?????????????,düskün,Çocukluguma dair çok hos anilarim var.
1453,1,food,N,"We cannot survive without food.
",????? ?????,??? ????? ??? ???? ???? ?????? ????????,?? ????? ?? ???? ???? ???? ?? ?????,??,????????????,yiyecek,Yemek olmadan hayatta kalamayiz.
1454,1,fool,N,He is looked upon as fool by everyone.,?????? ???????,????? ??? ???? ????? ???? ???????,"??? ?? ???? ???? ?? ??? ?? ?????? ???
",??,??????????,aptal,Herkes tarafindan aptal olarak görülüyor.
1454,2,fool,VT,"I was fooled by my friends on my birthday.
",????????,??? ????????? ?? ???? ????? ?????? ??????,???? ???? ?????? ?? ???? ?????? ?? ?????? ??????,??,????????????,aptal,Dogum günümde arkadaslarim tarafindan aldatildim.
1454,3,foolish,Adj,"It was foolish of her to go alone at night.
",???????,??? ?????? ???? ???? ????? ?? ???? ?????? ????????,??? ?? ????? ???? ?? ?? ?? ????? ????,???,????????????,aptalca,Geceleri tek basina gitmesi aptallikti.
1454,4,foolish,Adj,"It would be foolish to believe such rumours.
",????????,???? ?????? ????? ??? ???? ??? ?????????,???? ??????? ?? ???? ???? ??????? ???? ?????,???,????????????,aptalca,Bu tür söylentilere inanmak aptallik olur.
1455,1,foot,N,"She has thin feet.
",????,???? ??? ????? ?????,?? ?? ???? ???? ????,?,??????,ayak,Ince ayaklari var.
1455,2,foot,N,"My left foot was injured in the accident.
",????,?????? ???? ???? ??? ?????? ???? ?????,????? ??? ???? ????? ???? ???? ??????,?,????????????,ayak,Kazada sol ayagim yaralandi.
1455,3,foot,N,"They erected a five foot wall in front of their house.
",?????,???? ???? ????? ????? ???????? ???? ????? ????? ??????,????? ?? ???? ??? ?? ????? ???? ?? ????? ???? ???,?,???????????????????,ayak,Evlerinin önüne 5 metrelik bir duvar ördüler.
1455,4,foot,Adj,The foot soldiers entered the building.,???? ??? ???,???? ??? ???? ????? ????? ??????? ?????,???? ???? ???? ????? ????? ??? ???? ?????,?,???????,ayak,Piyadeler binaya girdi.
1455,5,foot,N,"They camped at the foot of the hill.
",????? ??????,???? ??? ????? ??? ????? ????? ????? ,????? ?? ????? ?? ???? ??? ???? ?????,?,?????????,ayak,Tepenin eteginde kamp kurdular.
1456,1,football,N,"I love to watch football match.
",??? ???,??? ??? ??? ??? ??? ?????? ??? ?????,???? ?? ??? ??? ?????? ???? ???,??,?????????,futbol,Futbol maçi izlemeyi seviyorum.
1457,1,footpath,N,"Pedestrians should always walk on the footpath.
",???? ????,???? ??? ?????? ??? ?????? ???? ????? ????? ?????,???? ???? ????? ?? ????? ???? ?? ???? ??????,???,?????????????,patika,Yayalar her zaman kaldirimda yürümelidir.
1458,1,footstep,N,"I heard the sound of footsteps in the next room.
",???? ????,??? ???? ?????? ?????? ??? ???? ???? ?????,???? ???? ???? ??? ????? ?? ???? ????? ???,??,????????????,basamak,Yan odadan ayak sesleri duydum.
1459,1,for,Prep,"I can do this for her.
",?????,??? ?????? ??? ???? ????? ????? ???????,??? ?? ?? ??? ?? ?? ???? ????,??,??????????,için,Bunu onun için yapabilirim.
1459,2,for,Prep,"I bought a book for Sonu.
",?????,??? ???? ???? ?? ????? ??? ??????,??? ?? ???? ????? ??? ???? ??????,??,??????????,için,Sonu için bir kitap aldim.
1459,3,for,Prep,I will speak for you.,?????,??? ??? ????? ????? ????,??? ?? ?? ??? ?? ??? ???? ???,??,???????,için,Senin adina konusacagim.
1459,4,for,Prep,"He talked on and on for an hour on the telephone.
",???,??? ???? ???? ????? ?????? ??? ???? ?????,?? ??? ????? ?? ???? ??? ?? ??? ???? ????,??,?????????????????,için,Bir saat kadar telefonda konustu.
1459,5,for,Prep,"Everybody has a desire for luxury.
",?????,??????? ?????? ???? ???? ????? ?????? ????? ,?? ??? ?? ??? ? ???? ?? ????? ???? ???,??,????????????,için,Herkesin lüks arzusu vardir.
1459,6,for,Prep,"We haven`t seen him for years.
",??????,???? ??? ??? ??? ???? ???? ?????? ????????,?? ?? ??? ????? ?? ???? ??????,??,??????????????,için,Onu yillardir görmüyoruz.
1459,7,for,Prep,"We had cooked potatoes for lunch.
",?????,???? ??? ????? ????? ???? ????????? ,?? ?? ????? ?? ????? ?? ??? ??? ????? ????,??,??????????,için,Ögle yemeginde patates pisirmistik.
1459,8,for,Prep,"He gave me this book for Rs 300.
",????? ?????,???? ???? ??? ??? ????? ?????? ??? ????? ?????,?? ?? ???? ?? ???? ??? ?? ???? ??? ???,??,??? 300 ?????????,için,Bu kitabi bana 300 rupi karsiliginda verdi.
1459,9,for,Prep,"He walked for five miles.
",????,??? ???? ?????? ???? ???? ?????,?? ???? ??? ?? ???? ????,??,???????,için,Bes mil kadar yürüdü.
1459,10,for,Conj,"She was very angry with her friend for she forgot to wish her on new year.
",???????? ????? ???,?? ?? ?????? ?????? ?????? ????? ??????? ????? ??? ?? ??? ??????? ????????? ???? ????? ??????,?? ???? ???? ?? ??? ????? ??? ?????? ?? ??? ??? ??? ?? ???????? ???? ???? ??? ????,??,?????????,???????????,için,Arkadasina yeni yil dilemeyi unuttugu için çok kizmisti.
1460,1,forbid,V,"The law forbids the sale of cigarettes to young people.
",???? ????,??????? ??? ???? ???? ?????? ?????? ???? ?????,????? ???????? ?? ????? ????? ???? ?? ??? ???? ???,??,?????????????,yasaklamak,Kanun gençlere sigara satisini yasakliyor.
1460,2,forbid,VT,"If you want to go, I can't forbid you.",???????? ??? ????,??? ?? ????? ????? ????? ??? ?????? ??? ?? ?????????,??? ?? ???? ????? ?? ?? ??? ?? ?? ??? ???? ?? ?????,??,?????,????????,yasaklamak,Eger gitmek istersen sana engel olamam.
1460,3,forbidden,Adj,Forbidden fruit is sweet.,???? ????? ????? ????,???? ????? ???? ????? ??? ?????? ?????,????? ??? ????? ???? ???,???,??????,yasakli,Yasak meyve tatlidir.
1461,1,force,N,"They used force to open the jammed door.
",???? ????,???? ???? ??? ?????? ??????? ????? ???? ????,????? ?? ??? ?????? ?? ?????? ?? ??? ???? ?? ??????? ????,??,??????????????,güç,Sikisan kapiyi açmak için güç kullandilar.
1461,2,force,N,He changed our opinion through the force of his ideas.,???? ??????,???? ????? ?????? ????? ?????? ????? ???? ???? ????,?? ?? ???? ?????? ?? ??? ?? ????? ???? ??? ???,??,???????????????????,güç,Fikirlerinin gücüyle görüsümüzü degistirdi.
1461,3,force,N,"The Air force was trained to fly new fighter planes.
",???,????? ???? ???? ???? ???? ????  ??????? ?????? ?????? ," ????? ??? ?? ??? ????? ????? ????? ?? ????? ?? ????
",??,????????????????,güç,Hava kuvvetleri yeni savas uçaklarini uçurmak için egitildi.
