seq_num,word,word_type,english_example,kashmiri_word,kashmiri_example,urdu_translation,chinese_word,chinese_example,turkish_word,turkish_example
1,consonant,N,"There are twenty one consonants in English alphabets.
",??????????????????,???????? ?????? ???? ???? ??? ????? ?????????,"??????? ???? ???? ??? ???? ??? ????
",??,??????????????,ünsüz,Ingiliz alfabesinde yirmi bir ünsüz vardir.
1,conspiracy,N,"They felt that it is a government conspiracy.
",?????,???? ?????? ?? ??? ???? ??????? ?????,????? ?? ????? ??? ?? ?? ?????? ???? ???,??,????????????,komplo,Bunun bir hükümet komplosu oldugunu düsünüyorlardi.
1,constant,N,"We need to maintain constant pace at work.
",?????? ?????,???? ???? ????? ???? ????? ????? ?????? ??????? ???????,???? ??? ??? ????? ????? ?????? ????? ?? ????? ???,???,????????????????,devamli,Çalisma tempomuzu sabit tutmamiz gerekiyor.
2,constant,Adj,"You have to maintain a constant speed while driving.
",??????? ??????,???? ??????? ???? ???? ????? ??? ?????? ????? ????? ???????,???? ????? ??? ?? ?? ????? ????? ?????? ????? ?????,???,????????????,devamli,Sürüs sirasinda sabit bir hizi korumaniz gerekir.
3,constant,Adj,"Because of the constant use of this route, its condition has become worst.",???????? ??????,?????? ????? ?????? ??????? ?????????? ???? ???? ?????? ???? ???? ?????,?? ????? ?? ????? ??????? ?? ??? ?? ?? ?? ???? ???? ?? ??? ???,???,???????????,??????????,devamli,Bu güzergahin sürekli kullanilmasi nedeniyle durumu daha da kötülesti.
4,constant,N,"My dog has been my constant companion.
",???????? ???????,????? ???? ??? ????? ??????? ????? ???????,???? ??? ???? ?????? ????? ??? ???,???,?????????????,devamli,Köpegim benim sürekli arkadasim oldu.
5,constantly,Adv,"I think of you constantly.
",??????,??? ???? ?????? ??? ??????? ???????,??? ????? ?? ?? ???? ??? ????? ???.,???,???????,sürekli,Sürekli seni düsünüyorum.
1,constitute,VT,Twelve months constitute a year.,??????,??? ????? ??? ??? ???? ??????,???? ????? ??? ???? ????,??,?????????,olusturmak,On iki ay bir yili olusturur.
1,constitution,N,"The constitution of India came into effect from 26th January, 1950.",????,???????????? ????? ???? ?? ?????? ???? ?????? ?????,???????? ?? ???? 26 ????? 1950 ?? ???? ????,??,?????1950?1?26????,anayasa,Hindistan anayasasi 26 Ocak 1950'den itibaren yürürlüge girdi.
2,constitution,N,"All the members should follow the constitution of this institute.
",????????,????? ?????? ??? ????????? ???????? ??????? ????,???? ?????? ?? ?? ????? ?? ???? ?? ??? ???? ??????,??,?????????????,anayasa,Tüm üyeler bu kurumun tüzügüne uymak zorundadir.
3,constitution,N,"His elder brother is has a weak constitution.
",??????? ?????,???? ??????? ????? ????? ??? ????? ??????,?? ?? ??? ????? ?? ????? ????? ???,??,?????????,anayasa,Agabeyi zayif bir yapiya sahip.
4,constitutional,Adj,A big constitutional change was brought up in Pakistan.,?????,????????? ???? ???? ???? ??? ????? ??????? ??????,??????? ??? ??? ??? ????? ?????? ???? ????,???,?????????????????,anayasal,Pakistan'da büyük bir anayasa degisikligi gündeme geldi.
5,constitutional,Adj,"He is not able to work due to constitutional weakness.
",??????? ,??????? ??????? ????? ???? ??? ??? ??? ?????? ??? ??????,?? ?????? ?????? ?? ??? ?? ??? ???? ?? ?? ????,???,??????,??????,anayasal,Anayasal zayifliktan dolayi çalisamiyor.
1,construct,VT,"They have constructed a new building on the road.
",???????,???? ???? ????? ????? ??? ??? ??????? ???????,????? ?? ??? ?? ??? ??? ????? ????? ?? ???,??,??????????????,insa etmek,Yola yeni bir bina yaptilar.
2,construction,N,"Snowfall hindered the construction of road.
",??????,???? ?????? ???? ???? ??? ?????? ???? ???? ???????,??? ???? ?? ??? ?? ????? ??? ????? ???? ?? ???,??,??????????,yapi,Kar yagisi yol insaatini aksatti.
3,constructive,Adj,"Research is a constructive work.
",???????,??????? ???? ???  ??????? ????,????? ??? ?????? ??? ???,????,????????????,yapici,Arastirma yapici bir istir.
1,consult,V,"I have to consult a doctor.
",??? ?????? ?????? ?????,??? ???? ??????? ??? ?????,???? ????? ?? ????? ???? ???,??,???????,danismak,Bir doktora danismam gerekiyor.
2,consult,V,"You can consult the book.
",???????,?? ??????? ????? ???????,?? ??? ?? ???? ???? ????,??,?????????,danismak,Kitaba basvurabilirsiniz.
1,consumer,N,"The new budget can affect the consumers.
",????????? ?????? ???? ???????? ???? ???,???? ???? ?????? ????????? ??????? ??????,  ??? ??? ?????? ?? ????? ?? ???? ???,???,?????????????,tüketici,Yeni bütçe tüketiciyi etkileyebilir.
1,consumption,N,"The petrol consumption of this car is very high.
",?????,??? ???? ??? ?????? ????? ??????? ?????,?? ??? ?? ?????? ?? ???? ??? ????? ???,??,?????????????,tüketim,Bu arabanin benzin tüketimi çok yüksek.
2,consumption,N,He died of consumption.,????? ????? ???????? ?????,??? ???? ????? ??????? ??????? ?????,??  ?? ?? ?? ?? ????,??,??????,tüketim,Tüketimden öldü.
1,contact,V,If the glue comes in contact with your skin it can stick to it.,???? ????, ??? ????? ????? ???? ???? ???? ?????? ??????? ??? ??? ?????? ??????,??? ??? ?? ?? ??? ?? ???? ????? ??? ??? ?? ?? ?? ?? ?? ??? ???? ???,??,???????????,?????????,temas etmek,Tutkal cildinize temas ederse yapisabilir.
2,contact,N,"They have maintained regular contact since the engagement.
",??????,???? ???? ??????? ?????? ?????? ??????? ?????,????? ?? ????? ?? ??? ?? ??????? ????? ?????? ???? ???,??,?????,????????????,temas etmek,Nisandan bu yana düzenli temas halindeydiler.
3,contact,N,"I am not at all in contact with him.
",??????? ?????,??? ??? ??? ????? ???? ?????? ??? ???????,??? ?? ?? ????? ??? ????? ??? ???? ????,??,??????????,temas etmek,Onunla hiçbir sekilde iletisim halinde degilim.
4,contact,N,"He used all his contacts to get the required information.
",??????,??????????? ???????? ????? ????? ????? ???? ???? ??????? ???? ?????? ????? ????????,?? ?? ?????? ??????? ???? ???? ?? ??? ???? ???? ?????? ?? ??????? ????,??,????????????????????,temas etmek,Gerekli bilgileri almak için tüm baglantilarini kullandi.
5,contact,V,"It is better to contact the boss.
",?????? ????? ?????? ,????? ???? ?????? ???? ???? ????,????? ?? ????? ???? ???? ???,??,?????????,temas etmek,Patronla iletisime geçmek daha iyidir.
1,contain,V,"Milk contains calcium.
",?????? ????,????? ???? ??? ???????? ?????? ????,???? ??? ?????? ???? ???,??,???????,içermek,Süt kalsiyum içerir.
2,contain,VT,"This book contains 100 tales for kids.
",???? ????,??? ??????? ???? ???? ?????? ????? ??? ????????,?? ???? ??? ???? ?? ??? 100 ??????? ????,??,????? 100 ??????,içermek,Bu kitapta çocuklar için 100 masal yer aliyor.
3,contain,VT,"Her blood contained poison.
",????? ????,???? ??????? ????? ???? ??? ??? ??????," ?? ?? ??? ??? ??? ???? ????
",??,?????????,içermek,Kaninda zehir vardi.
4,contain,VT,"You need to contain your temper.
",????? ?????? ????? ?????,??? ???? ???? ?????? ????? ????? ???????,?? ?? ???? ??? ?? ???? ????? ?????,??,??????????,içermek,Öfkenizi kontrol altinda tutmalisiniz.
5,contain,VT,"The bottle contained acid.
",????,??? ?????? ???? ??? ??? ??,???? ??? ????? ????,??,????????,içermek,Sisede asit vardi.
1,contemplate,VT,"You should contemplate on this problem.
",??? ????? ??????? ?????,??? ???? ??? ????? ????? ??? ????,?? ?? ?? ????? ?? ??? ???? ??????,??,??????????????,tasarlamak,Bu sorun üzerinde düsünmelisiniz.
1,contemporary,Adj, Almost all of the contemporary accounts of the event have been lost.,?????? ,?? ?? ??? ???????? ?????? ????  ?????? ??????? ??????? ,????? ?? ??????? ???? ????? ??????? ??? ??? ????,???,???????????????????,modern,Olayin hemen hemen tüm çagdas anlatimlari kayboldu.
2,contemporary,Adj,"The event was recorded by a contemporary historian.
",?? ???,??? ???? ??? ???? ?? ??? ??????? ???? ??? ????????,"?? ????? ?? ??? ????? ???? ?? ??? ??? ????
",???,??????????????????,modern,Olay çagdas bir tarihçi tarafindan kaydedildi.
3,contemporary,N,He was a contemporary of Darwin.,?????,??? ??? ????? ????? ??????,"?? ????? ?? ???? ????
",???,???????????,modern,Darwin'in çagdasiydi.
1,contempt,N,"The burglar was held in contempt.
",???????? ?????,????? ???? ??? ????? ?????,"??? ?? ????? ?? ???? ????
",??,???????,küçümseme,Hirsiz saygisizca tutuldu.
1,contend,VT,The girl contended that she saw a ghost., ???? ????? ???? ?????,???? ???? ???? ?? ???? ???? ???,???? ?? ????? ??? ?? ?? ?? ??? ?? ????? ?,??,??????????,çekismek,Kiz hayalet gördügünü iddia etti.
2,contend,VT,"She is contending for the first prize.
",?????? ??????? ???????? ????,?? ???? ???????? ??????? ????? ??????? ????,?? ???? ????? ?? ??? ?????? ?? ??? ???,??,?????????,çekismek,Birincilik ödülü için yarisiyor.
1,content,N,"He aspires to live his life with peace and content.
",??? ????,??? ??? ?????? ??? ??? ???? ????? ??????? ???? ?????? ????,?? ??? ??? ??????? ?? ???? ?? ????? ????? ???,??,????????????,içerik,Hayatini huzur ve mutluluk içinde yasamayi arzuluyor.
2,content,N,The police emptied his bag to check its contents.,?????? ????,????? ???? ???? ????? ??? ???? ???? ??? ??? ???? ????? ????? ??????? ??????,????? ?? ?? ?? ??? ???? ?? ??? ???? ?? ??? ????? ???? ?? ???? ?? ?? ????,??,?????????????????,içerik,"Polis, içindekileri kontrol etmek için çantasini bosaltti."
3,content,N,"The newspaper did not contain entire content of the article.
",?????,?????? ???? ??? ??? ???????? ????? ?????,????? ??? ????? ?? ???? ???? ???? ???? ????,??,????????????????,içerik,Gazetede makalenin içeriginin tamami yer almiyordu.
4,content,Adj,"He is content with his life.
",???? ????????,??? ??? ?????? ??????? ???,?? ???? ????? ?? ????? ???,??,???????????,içerik,Hayatindan memnundur.
5,content,N,There is no list of contents at the start of the book.,??????,??????? ??????? ???????? ???? ???? ???? ??? ??????? ????? ????? ????????,"???? ?? ???? ??? ??????? ?? ???? ????? ???? ???
",??,?????????,içerik,Kitabin basinda içindekiler listesi yok.
6,content,VT,"These worldly things do not content me.
",???????? ??????? ??? ??????,???? ??????? ?????? ???? ???? ??? ??? ???????? ??????,?? ?????? ????? ???? ????? ???? ???? ????,??,?????????????,içerik,Bu dünyevi seyler beni tatmin etmiyor.
1,contest,N,"Her daughter has won the singing contest.
",????????,???? ?????? ???? ????? ??????? ???????? ,?? ?? ???? ?? ???? ?? ?????? ??? ??? ???,??,????????????,yarisma,Kizi sarki yarismasini kazandi.
2,contest,N,"There was a tough contest for the headership.
",????????,???????? ????? ??? ?? ????????,????? ?? ??? ??? ?????? ????,??,??????????,yarisma,Sampiyonluk için zorlu bir mücadele vardi.
3,contest,VT,The lawyer contested the case successfully.,?????? ???????? ?????,??????? ???? ?????? ??????? ???,???? ?? ??????? ?? ????? ????,??,??????????????,yarisma,Avukat davaya basariyla itiraz etti.
4,contest,VT,"His step brother contested for his right to property.
",?????? ?????? ????? ???? ?????,???? ?????? ???? ??? ??? ??????? ????? ?????? ???? ????? ?????,?? ?? ?????? ????? ?? ??????? ?? ?? ?? ??? ?????? ????,??,??????????,yarisma,Üvey kardesi mülkiyet hakki için itirazda bulundu.
1,context,N,"Please mention the entire context.
",???????,??????? ?????? ????? ????? ???????? ????? ?????,???? ??? ???? ???? ? ???? ?? ??? ?????,??,?????????,baglam,Lütfen baglamin tamamini belirtin.
1,continent,N,"Africa is a big continent.
",?????????,??????? ??? ??? ???? ????????,?????? ??? ??? ?????? ???,??,???????????,kita,Afrika büyük bir kitadir.
1,continually,Adv,"He complained continually about the lack of money.
",??????? ??????,???? ??? ?????? ??????? ?????? ???? ????? ???????,?? ????? ???? ?? ??? ?? ????? ???? ????,???,?????????,sürekli,Sürekli parasizliktan sikayet ediyordu.
2,continuation,N,The continuation of the strike caused a lot of poverty.,????,????? ??? ???? ?????? ???? ???? ?????? ?????,"????? ?? ????? ?? ??? ????? ???? ?????
",??,?????????????,devam,Grevin devam etmesi büyük bir yoksulluga neden oldu.
3,continue,V,"We cannot continue their service any longer.
",???? ??????,???? ????? ??? ??????? ?????? ?????? ???? ???????,?? ?? ?? ???? ?? ???? ???? ???? ??? ?????,??,??????????????,devam etmek,Artik hizmetlerine devam edemeyiz.
4,continuity,N,"We must ensure continuity of food supplies to the public.
",????,???? ??? ?????? ????? ??????? ???? ??????? ?????? ????   ,???? ???? ?? ????? ?? ?????? ?? ????? ?? ????? ????? ??????,???,??????????????????,süreklilik,Halka gida arzinin sürekliligini saglamaliyiz.
5,continuous,Adj,He had continuous fever for a week.,???????,????? ??? ????? ????? ??????? ????,??? ??? ???? ?? ????? ???? ????,???,?????????,sürekli,Bir haftadir sürekli atesi vardi.
1,contour,N,"Sculptor has created smooth contours of a sculpture.
",?????? ?????? ?????,??????? ???? ???? ??????? ????? ????? ????? ???????? ,????? ??? ?? ??? ????? ?? ????? ??? ????? ???,??,??????????????,kontur,Heykeltiras bir heykelin düzgün hatlarini yaratti.
2,contour,N,"The road map shows several contours.
",???? ?????,????? ????? ????? ??? ?????? ??? ?????,??? ?? ???? ??? ????? ?????? ???,??,???????????,kontur,Yol haritasi çesitli konturlari gösterir.
1,contract,N,"You can read the terms of the contract thoroughly.
",??????? ??????,?? ??????? ???????? ??????? ???? ????? ??????,?? ?????? ?? ????? ?? ???? ??? ?? ??? ???? ????,??,????????????,sözlesme,Sözlesme sartlarini detaylica okuyabilirsiniz.
2,contract,V,"Metal contracts as it cools down.
",?????,???? ??? ????? ??????? ?????,???? ????? ???? ?? ??? ???? ???,??,?????????,sözlesme,Metal sogudukça büzülür.
3,contract,V,"They have contracted to build a new hospital.
",?????? ?????? ?????? ?????,???? ??? ???? ???????? ???????? ?????? ???????,????? ?? ??? ?????? ????? ?? ????? ??? ???,??,?????????????,sözlesme,Yeni bir hastane yapilmasi için sözlesme imzaladilar.
4,contract,V,He contracted measles while travelling.,??????,????? ????? ???????? ????? ??????,??? ??? ?? ????? ???? ?? ??? ???? ??????,??,???????????,sözlesme,Seyahat ederken kizamiga yakalandi.
1,contrary,Adj,"We cannot tolerate the acts contrary to our principles.
",???????? ???????? ????? ????,???? ????? ??? ??????? ??????? ??????? ?????? ??? ??? ?????? ??????,?? ???? ????? ????? ?? ???? ?????????? ?? ?????? ???? ?? ?????,??,????????????????,aksine,Ilkelerimize aykiri davranislara tolerans gösteremeyiz.
1,contrast,N,"There is a remarkable contrast between these twins.
",????? ????,???? ??? ???? ???? ???? ?????? ????,?? ????? ???? ?? ?????? ??? ??? ?????? ???? ???,??,????????????????,zitlik,Bu ikizler arasinda dikkate deger bir kontrast var.
2,contrast,VT,"His deeds contrasted sharply with his promises.
",???? ????? ???????? ????? ????? ????,???? ?????? ????? ??? ???? ???????? ????? ??? ?????? ???,?? ?? ??? ?? ?? ????? ?? ???? ????? ????? ????,??,????????????????,zitlik,"Yaptiklari, vaatleriyle keskin bir tezat olusturuyordu."
1,contribute,VT,"He has contributed a lot to his  family.
",??? ????? ?????? ?????,???? ??? ?????? ????? ?????? ??? ???????,?? ?? ???? ?????? ?? ??? ??? ????? ??? ???,??,????????????,katki yapmak,Ailesine çok sey katti.
2,contribute,VT,"You can contribute some money to the victims of flood.
",????? ????? ?????,?? ??????? ?????? ???? ??????? ??????? ????,?? ????? ?? ??????? ?? ??? ??? ??? ?? ???? ????,??,?????????????,katki yapmak,Sel magdurlarina bir miktar para katkida bulunabilirsiniz.
3,contribute,VT,"All are welcome to contribute to the discussion.
",????? ????,????? ???? ????? ????? ????? ?? ????? ??????? ????? ,?? ?? ??? ??? ??? ???? ?? ??????? ???,??,???????????,katki yapmak,Herkes tartismaya katkida bulunabilir.
4,contribute,VT,"She contributes small poems to her school magazine.
",?????? ?????? ????,?? ???? ?????? ?????? ??? ????????? ?????? ????? ?????? ?????,?? ???? ????? ?????? ??? ???????? ?? ????? ????? ????? ????? ????,??,?????????????,katki yapmak,Okul dergisine küçük siirlerle katkida bulunuyor.
5,contribution,N,"I am proud of my contribution in the research work.
",??????? ??????? ?????,??? ??? ??????? ????? ???? ?????? ???????? ????? ?????,???? ?????? ??? ??? ???? ????? ?? ??? ???,??,??????????????????,katki,Arastirma çalismasina olan katkimdan gurur duyuyorum.
6,contribution,N,"He expected his contribution to be repaid with interest.
",?????,????? ?? ????? ?? ???? ????? ????? ?? ???? ????? ???? ?????,??? ???? ??? ?? ?? ?? ????? ?? ??? ?? ???? ??? ??? ???? ???,??,????????????????,katki,Katkinin faiziyle geri ödenmesini bekliyordu.
7,contribution,N,"I have made monetary contribution for the refugees.
",??????? ?????,??? ??? ???????? ????? ???? ?????? ???????,??? ?? ???? ?????? ?? ??? ???? ????? ?? ???,??,????????????,katki,Mültecilere maddi katki yaptim.
8,contribution,N,Historians are requesting contributions for a forthcoming book on the history of the community,??????????????,??????? ??? ??? ????? ??????? ???????? ????? ????? ?????? ??????? ????? ??????? ????? ??????? ????? ,"????? ??? ???? ?? ????? ?? ??? ???? ???? ?? ??? ?????? ?? ??????? ?? ??? ????
",??,??????????????????????????,katki,"Tarihçiler, toplulugun tarihi üzerine yakinda çikacak bir kitap için katki talep ediyorlar"
1,control,N,"He has no control over his temper.
",?????,????? ??? ??? ?????? ?????? ????? ?????? ??? ?????,?? ?? ???? ??? ?? ???? ???? ???? ???,??,???????????,kontrol,Öfkesi üzerinde hiçbir kontrolü yoktur.
2,control,VT,"We need to control our children.
",????????? ???? ??????,???? ??? ?????? ???? ????????? ???? ??????? ???????,???? ???? ???? ?? ???? ???? ?? ????? ???,??,????????????,kontrol,Çocuklarimizi kontrol etmemiz gerekiyor.
1,controversy,N,The judge's decision provoked controversy.,????????? ????? ??????? ?????? ?????,????? ?????? ?????? ???? ????? ????????,?? ?? ????? ?? ?????? ?? ??? ???,??,??????????,tartisma,Hakimin karari tartismalara yol açti.
1,convene,V,The conference will be convened next week.,??????? ????,???????? ????? ????? ????? ??????? ?????,??????? ????? ???? ????? ???? ???,??,?????????,toplanmak,Konferans önümüzdeki hafta toplanacak.
2,convene,VT,They convened a meeting of the members of the organization.,???????,???? ????? ????????? ???????? ????? ????? ????????,????? ?? ????? ?? ?????? ?? ????? ??????,??,??????????????,toplanmak,Örgüt üyelerini toplantiya çagirdilar.
3,convene,VT,"The students were convened in the auditorium.
",??? ??????? ?????,?????? ????? ????? ??????????? ???? ???,???? ?? ???????? ??? ??? ??? ??? ????,??,??????????,toplanmak,Ögrenciler oditoryumda toplandi.
1,convenience,N,"You can come at your own convenience.
",?????????? ??????? ?????? ????,???? ?????? ?????? ????????? ??????? ????,?? ???? ???? ?? ? ???? ????,??,????????????,kolaylik,Dilediginiz zaman gelebilirsiniz.
2,convenient,Adj,"She had a convenient excuse for not going out.
",????,????? ??? ?????? ?? ??????? ????? ???? ????,?? ?? ??? ???? ?? ???? ?? ??? ???? ????? ????,???,?????????????,uygun,Disari çikmamak için uygun bir bahanesi vardi.
3,convenient,Adj,"Our place is convenient for all to meet.
",???????????????? ?????,???? ??? ???? ????? ?????? ???????? ????? ???????,????? ??? ?? ?? ???? ?? ??? ????? ???,???,????????????,uygun,Yerimiz herkesin bulusmasina uygundur.
1,convention,N,"He is going to attend the convention.
",???????? ????????? ?????????,??? ????? ???????? ????????? ???? ????? ????? ????? ,"?? ???? ??? ???? ???? ?? ??? ????
",??,????????,kongre,Kurultaya katilacak.
2,convention,N,"We are bound to accept our social conventions.
",?????? ???????,???? ??? ????? ???????? ?????? ????? ????? ??????,?? ???? ????? ????? ?? ???? ???? ?? ????? ????,??,??????????????,kongre,Toplumsal geleneklerimizi kabul etmek zorundayiz.
3,conventional,Adj,"He is very much conventional in his ideas.
",????????,???? ?????? ?????? ??? ?????? ????????,?? ???? ?????? ??? ??? ????? ?????? ???,???,?????????,geleneksel,Fikirlerinde oldukça gelenekseldir.
1,conversation,N,"Their conversation centered around inflation.
",???? ????,??? ??? ???????? ??????? ???? ???? ?????,?? ?? ????? ????? ???? ?????? ?? ??? ????? ????,??,?????????????,konusma,Konusmalari enflasyon etrafinda yogunlasti.
1,conversion,N,"He has undergone ideological conversion recently.
",???????,????? ???? ????? ???? ??????? ??????? ????,?? ??? ?? ??? ??????? ?????? ?? ???? ???,??,???????????,dönüsüm,Son zamanlarda ideolojik dönüsüm yasadi.
2,conversion,N,"Her conversion to christianity is criticized by everyone.
",???????,????????? ????  ???? ?????? ??????? ????? ??? ???? ????? ?????,?? ?? ??????? ??? ?????? ?? ?? ???? ????? ???? ???,??,????????????????,dönüsüm,Hiristiyanliga geçmesi herkes tarafindan elestiriliyor.
1,convert,V,He failed to convert him.,???????,??? ???? ????? ??????? ???? ??????,"?? ??? ????? ??? ????? ????
",??,????????,dönüstürmek,Onu dönüstürmeyi basaramadi.
2,convert,V,"That hindu has converted to Islam.
",???? ???????,???? ??????? ????? ???? ??? ?????? ???????,  ??  ????  ??????? ??? ????? ?? ???,??,????????????????,dönüstürmek,Bu Hindu Müslüman oldu.
3,convert,VT,"That building has been converted into a school.
",?????? ????,?? ????? ???? ?????? ???? ?????? ????? ????,?? ????? ?? ???? ??? ????? ?? ??? ??? ???,??,?????????????,dönüstürmek,O bina okula dönüstürüldü.
4,convertible,Adj,"Euro is convertible to all currencies.
",?????? ???? ???,?????? ??? ????? ??? ??????? ???? ?????? ???? ???,???? ???? ??????? ??? ???? ????? ???,???,???????????,üstü açik araba,Euro tüm para birimlerine dönüstürülebilir.
1,convict,N,"He was a convict in the case.
",??????? ????? ???,??? ??? ??? ????? ???? ??????,?? ?? ??? ??? ???? ????,??,??????????,mahkum,O davada hükümlüydü.
2,convict,VT,"He was convicted of murder.
",?????? ?????????? ?????? ????? ?????,??? ?? ????? ?????? ?????????,?? ??? ?? ???? ??????? ??? ????,??,?????????,mahkum,Cinayetten suçlu bulundu.
1,conviction,N,"His conviction surprised all of us.
",???????????,???? ?????? ?????? ???? ????? ???? ???? ?????,?? ?? ???? ?? ?? ?? ?? ????? ?? ????,??,????????????????,mahkumiyet,Onun bu inanci hepimizi sasirtti.
2,conviction,N,"I speak in full conviction that he is innocent.
",??????,??? ??? ????? ?????? ?? ??? ??? ??? ?????,??? ???? ???? ?? ???? ??? ?? ?? ?? ???? ???,??,???????????,mahkumiyet,Onun masum olduguna tam bir inançla konusuyorum.
1,convince,V,"It is very difficult to convince her.
",?????? ????,????? ?????? ???? ??? ?????? ??????,??? ????? ??? ???? ???,??,??????,ikna etmek,Onu ikna etmek çok zordur.
2,convince,V,"I cannot convince him.
",????? ?????,??? ????? ??? ??? ????? ??????,??? ??? ??? ???? ?????,??,???????,ikna etmek,Onu ikna edemiyorum.
3,convince,VT,I convinced her to go by plane.,???? ????? ????????,??? ??? ?? ????? ???? ??????? ????? ????,??? ?? ??? ???? ?? ???? ?? ??? ???? ????,??,?????????,ikna etmek,Onu uçakla gitmeye ikna ettim.
4,convince,VT,I am convinced that he has created all the problems.,?????? ????,??? ??? ?????? ?? ???? ??? ???? ?????? ???? ???? ????,???? ???? ?? ?? ???? ????? ??? ?? ???? ??? ????,??,???????????????,ikna etmek,Bütün sorunlari onun yarattigina inaniyorum.
1,cook,N,"She is a very good cook.
",??? ???? ????,?? ???? ??? ?????? ???? ??? ????????,??  ??? ??? ???? ?????? ???,??,???????????,asçi,Kendisi çok iyi bir asçidir.
2,cook,VT,"My sister cooks well.
",?????,?????? ?????? ???? ????? ?????,???? ??? ????  ????? ????? ????,??,?????????,asçi,Kiz kardesim iyi yemek pisirir.
1,cool,Adj,He likes to hang out in cool autumn nights.,?????? ?????? ??????,????? ??? ????? ???? ?? ???? ???? ????? ????? ??? ?????,?? ???? ?? ????? ????? ??? ?????? ???? ???? ???,???,?????????????,Serin,Serin sonbahar gecelerinde takilmayi seviyor.
2,cool,Adj,"He is a cool person.
",???? ?????,??? ??? ??? ???? ????? ?????,"?? ??? ???? ????? ???
",???,?????????,Serin,O harika bir insan.
3,cold,Adj,"He was given a cold reception.
",???????? ??????,?????? ?? ??????? ???????? ?????,?? ?? ??? ??????? ??? ????,???,???????,soguk,Kendisine soguk bir karsilama yapildi.
4,cool,Adj,"Her relation with her boss is cool and polite.
",????,????? ??? ?????? ????? ???? ???? ??? ????? ??? ???????,?? ?? ???? ?? ???? ?? ?? ???? ???? ??? ?????? ???,???,??????????????,Serin,Patronuyla iliskisi sogukkanli ve kibardir.
5,cool,Adj,That garden has a lot of cool places to sit.,?????,??? ???? ???? ???? ??????? ????? ?????? ??????? ?????,"?? ??? ??? ?????? ?? ??? ???? ??????? ????? ????
",???,????????????????,Serin,O bahçede oturulacak bir sürü güzel yer var.
6,cool,N,"We can get some coolness here.
",???????,???? ?????? ?????? ??????? ????????,"???? ???? ??? ????? ?? ???? ???
",???,??????????????,Serin,Burada biraz serinleyebiliriz.
7,cool,Adj,"He made a cool appraisal of all issues in the dispute.
",??? ???,???? ???? ?????? ???? ???? ?????? ????? ??? ??? ??????,?? ?? ?????? ??? ???? ??????? ?? ??? ????? ????? ????,???,??????????????????????,Serin,Anlasmazliktaki tüm konulara iliskin sogukkanli bir degerlendirme yapti.
8,cool,Adj,"It is not cool to arrive at a party too early.
",???,???? ????? ????? ????? ????? ??? ?? ??? ????,???? ?? ??? ?????? ???? ???? ???,???,??????????,Serin,Bir partiye çok erken gelmek hiç hos degil.
9,cool,N,"She likes the pleasant cool of morning.
",??????,????? ???? ?????? ??????? ??????? ??? ?????,??? ??? ?? ??????? ????? ???? ???,???,???????????,Serin,Sabahin hos serinligini seviyor.
10,cool,N,"He kept himself cool while everyone else panicked when the fire broke.
",??????,???? ???? ????? ??? ??????? ???? ?????? ?? ??? ????? ???? ???? ???????,?? ?? ??? ?? ???? ??? ???? ?? ?? ?? ???? ?? ???? ?? ????? ????,???,?????,??????????,???????,Serin,Yangin çiktiginda herkes panige kapilirken o serinkanliligini korudu.
11,cool,VI,"His enthusiasm cooled considerably.
",?????? ?????,???? ????? ??? ???? ?????? ????? ??????.,"?? ?? ??? ???? ????? ?? ????
 ",???,??????????,Serin,Heyecani oldukça azaldi.
12,cool,VT,"A swim in the river can cool you.
",??????? ???????? ????? ?????,??????? ???? ???????? ????? ???? ????? ??? ??????? ????????. ,???? ??? ????? ?? ?? ????? ?? ???? ???,???,????????????,Serin,Nehirde yüzmek sizi serinletebilir.
13,cool,VT,"Just cool down, do not be so angry.
",?????? ?????,?? ???? ???? ????? ???? ?????? ,?? ????? ?? ???? ???? ??? ?? ????,???,???,??????,Serin,"Sakin ol, bu kadar öfkelenme."
1,cooperate,VI,"Please cooperate to raise the money for victims.
",?????? ????????? ????? ?????? ??? ?????,??????? ?????? ????? ??????????? ????? ????? ??? ???? ???? ???????,???? ??? ??????? ?? ??? ??? ????? ???? ?? ??? ????? ?????,??,???????,????????,isbirligi yapmak,Lütfen magdurlara para toplamak için isbirligi yapin.
2,cooperation,N,Thank you very much for your cooperation.,???????????,??????? ?????? ????? ???? ??? ?????? ????? ??????,"?? ?? ????? ?? ?? ?? ?? ??? ?????.
",??,?????????,isbirligi,Isbirliginiz için çok tesekkür ederiz.
3,cooperative,Adj,Our cooperative efforts are very important.,????????????,????? ?????? ???????? ???? ?????? ????????,????? ????? ????? ??? ????? ????,???,????????????,kooperatif,Isbirligi çabalarimiz çok önemli.
1,cop,N,"He is an honest cop.
",?????? ???,??? ??? ??? ?????????? ?????? ????,?? ??? ???????? ????? ?? ???? ???,??,??????????,polis,O dürüst bir polistir.
2,cop,V,"He was copped for stealing.
",????,??? ????? ???? ????? ????? ????????,?? ???? ???? ?? ?? ???? ??? ????,??,????????,polis,Hirsizlik yapmaktan tutuklandi.
3,cop,V,"He was copped for driving without a license.
",???????? ????? ?????? ?????,??? ???? ??????? ???? ???? ??????? ????? ???????? ????? ????,??? ???? ?????? ?? ???? ????? ?? ???? ??? ????,??,??????????,polis,Ehliyetsiz araç kullandigi için polise yakalandi.
